frame_id,force,position,velocity,energy,file_id,file,timestep,displacement,directory,charge density at t=-4.00,charge density at t=-3.00,charge density at t=-2.00,charge density at t=-1.00,charge density at t=-0.50,charge density at t=0.00,charge density at t=0.50,charge density at t=1.00,charge density at t=2.00,AGNI projected eta=8.00e-01,AGNI projected eta=1.23e+00,AGNI projected eta=1.88e+00,AGNI projected eta=2.89e+00,AGNI projected eta=4.43e+00,AGNI projected eta=6.80e+00,AGNI projected eta=1.04e+01,AGNI projected eta=1.60e+01,ion-ion repulsion,velocity_mag,force_fit
831,0.17052863191476028,[ 6.29171918  8.93536775 -7.49092634],[0.31110639 0.32094488 0.22154069],-857.30907904,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,831,6.005386538459611,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6902978357310916,-3.5053499065728833,-3.249282108901503,-2.9936281318185434,-2.887676555737802,-2.808917845818996,-2.7657051579818783,-2.764791077438342,-2.902275794090823,0.00016539522444136755,0.0028872491123680074,-0.013208986535699537,-0.07091651894739172,-0.08309137023115856,-0.06616523909950225,-0.05950261190731499,-0.053187256578429806,0.3917989050141017,0.49887180640192785,0.18358177
832,0.1688698400031237,[ 6.29622056  8.94001151 -7.48772088],[0.31110269 0.32094671 0.22154022],-857.30780997,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,832,6.01260469328886,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6885913812562143,-3.5022020840256913,-3.2454011041228803,-2.9903921913197813,-2.8850344107105097,-2.80713016644165,-2.7650271312474977,-2.765343797055262,-2.9055290433933583,0.00018050324209511649,0.0032410212200958068,-0.011821083712219299,-0.06847167876330061,-0.08057930547221961,-0.06403715516325546,-0.057518764424287154,-0.05132564789506928,0.36530765141097843,0.4988704676193096,0.1817132
833,0.16720878396861452,[ 6.30072187  8.9446553  -7.48451541],[0.31109901 0.32094854 0.22153976],-857.30655285,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,833,6.019822828107857,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6868804841584493,-3.499014668333635,-3.241521885665626,-2.987155697265934,-2.8823936641825574,-2.805348518042395,-2.76436117332899,-2.7659153413519895,-2.9088123298543693,0.00019551468849965273,0.003593802933272892,-0.010432902062894173,-0.06602097705857778,-0.07806012484346875,-0.06190352763900692,-0.05553001885510959,-0.049459818707091305,0.33880309300341627,0.498869145780704,0.17983097
834,0.1655460140464784,[ 6.30522314  8.94929912 -7.48130996],[0.31109534 0.32095038 0.2215393 ],-857.30530768,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,834,6.027040948347959,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.685164921975307,-3.4954685847634837,-3.237644344806558,-2.983918688926415,-2.8797544321975512,-2.8035730624862403,-2.7637074712996252,-2.7665059032767134,-2.912125901090335,0.00021042187407518305,0.003945509661807124,-0.009044607716250812,-0.06356461160192087,-0.07553401598940965,-0.05976452449952313,-0.053536533994611626,-0.04758991595224715,0.3122887703277146,0.49886783664248185,0.17793673
835,0.16388201175704928,[ 6.30972435  8.95394296 -7.47810451],[0.31109168 0.32095223 0.22153884],-857.30407448,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,835,6.034259043965789,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6834445723692038,-3.4918495872415605,-3.233768418628877,-2.9806812159173925,-2.8771168260396425,-2.801803944877578,-2.7630661864414536,-2.7671156417165945,-2.9154699592983966,0.00022521702377503388,0.004296053338998094,-0.0076563833983111194,-0.061102810021450966,-0.07300119715541867,-0.05762033958798581,-0.05153849274734153,-0.04571610921395668,0.2857685288491022,0.49886654020463317,0.17602822
836,0.16221720736946968,[ 6.31422551  8.95858684 -7.47489907],[0.31108803 0.32095408 0.22153839],-857.30285325,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,836,6.041477129617812,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.681719323426962,-3.4882351992464176,-3.229894057274263,-2.9774433423200106,-2.8744809721359816,-2.800041326358923,-2.762437497306097,-2.7677715448062434,-2.918844726930186,0.00023989246540007648,0.004645346617887491,-0.006268409864157667,-0.05863579770910145,-0.07046188477648387,-0.055471165065507526,-0.049536076407723964,-0.04383856658795859,0.25924617700145286,0.49886525447431135,0.17410713
837,0.16055195613668422,[ 6.31872662  8.96323073 -7.47169363],[0.3110844  0.32095594 0.22153794],-857.30164401,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,837,6.048695190473823,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6799890413724134,-3.4846252912438334,-3.2260211850589933,-2.974205104289486,-2.8718469692390216,-2.798285342804146,-2.7618215618202075,-2.7684937365054254,-2.9222504312530315,0.0002544406554550547,0.004993302798136,-0.004880866454727345,-0.05616379496999567,-0.06791628917803352,-0.05331718816849608,-0.04752946179498615,-0.04195745206329207,0.23272547392228304,0.49886398768009627,0.17217323
838,0.15888655807675842,[ 6.32322767  8.96787466 -7.4684882 ],[0.31108078 0.3209578  0.22153749],-857.30044675,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,838,6.055913235115857,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.678165439331671,-3.481019741569869,-3.222149747435752,-2.9709665669328826,-2.8692149474621096,-2.7965361628079157,-2.761218570199864,-2.769378948634669,-2.925687307542523,0.00026885415085356245,0.0053398363212596965,-0.0034939306731897437,-0.05368702344124368,-0.06536462320608181,-0.05115859783277957,-0.04551882712331221,-0.04007293078128517,0.20621015449694186,0.49886272715221824,0.17022902
839,0.15722126378055745,[ 6.32772867  8.97251861 -7.46528278],[0.31107717 0.32095967 0.22153704],-857.29926147,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,839,6.063131256946921,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.675886289854612,-3.477418399125284,-3.2182796639031075,-2.96765441083206,-2.866585007972571,-2.7947939258647168,-2.7606286861248646,-2.7703622061189916,-2.929155593226953,0.0002831257243583133,0.005684863683751969,-0.002107774745966624,-0.05120569617755913,-0.06280709076498811,-0.04899557536878151,-0.043504343459687636,-0.03818516108574463,0.17970383966761563,0.4988614793243505,0.1682859
840,0.1555563371738928,[ 6.33222962  8.97716259 -7.46207736],[0.31107358 0.32096154 0.2215366 ],-857.29808819,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,840,6.070349266828643,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.673466149485754,-3.473821189878525,-3.2144109005397,-2.964335916810079,-2.8639572645686173,-2.7930587776333167,-2.760052074980279,-2.771368456259556,-2.9326555159391217,0.0002972481028822225,0.006028298548833986,-0.000722583051204307,-0.048720046778949117,-0.060243916802757404,-0.046828319953176184,-0.041486198592137286,-0.036294317187334335,0.15321037110764008,0.49886024843912746,0.16633406
841,0.15389199309520865,[ 6.33673052  8.9818066  -7.45887195],[0.31107    0.32096342 0.22153616],-857.29692688,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,841,6.077567260322864,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.671001961609087,-3.4702111479649673,-3.210543371580616,-2.961016855486217,-2.861331826253134,-2.7913308708420477,-2.759598622018996,-2.772397862259687,-2.9361873388032236,0.0003112143425903586,0.006370059868207731,0.0006614779141313634,-0.04623028023505661,-0.05767529727143012,-0.04465700595951966,-0.03946455704535629,-0.034400551237932425,0.12673324777602687,0.49885903025368,0.16438913
842,0.1522284616280615,[ 6.34123137  8.98645063 -7.45566655],[0.31106644 0.32096531 0.22153572],-857.29577755,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,842,6.084785231006802,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6685376349517385,-3.4665868754710574,-3.2066770305348777,-2.9576973439674528,-2.8587088010008914,-2.7896103483901804,-2.7593733152964086,-2.7734505679615498,-2.9397513069203285,0.0003250174832669368,0.0067100635657101875,0.0020442283874198748,-0.043736623243234365,-0.05510145008366641,-0.042481826491936464,-0.037439601130073386,-0.032504032966321456,0.10027620345943836,0.4988578310035717,0.16247517
843,0.15056601269518322,[ 6.34573216  8.99109469 -7.45246115],[0.31106289 0.32096719 0.22153529],-857.29464019,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,843,6.092003183493542,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6660730575174942,-3.4629650903887357,-3.2028118280486804,-2.9543775012851974,-2.856088300273684,-2.787897356132744,-2.759166832839578,-2.7745267123793056,-2.9434750332823616,0.00033865069923614193,0.007048226549511855,0.0034254881839813913,-0.04123930814332156,-0.05252259992186523,-0.040302980003816935,-0.035411519283114895,-0.03060494173662004,0.07384298364846416,0.49885663602585495,0.16056827
844,0.14890484944587698,[ 6.3502329   8.99573878 -7.44925576],[0.31105935 0.32096909 0.22153486],-857.2935148,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,844,6.09922111959354,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.663608036917227,-3.459345606682662,-3.1989476797181715,-2.9510574266090694,-2.853470424920169,-2.7862023596290384,-2.7589793089891668,-2.775626475390561,-2.947264490930285,0.00035210755240771814,0.007384471883205011,0.004805099977927641,-0.03873852643842817,-0.04993892917823954,-0.038120629129850064,-0.033380465272404056,-0.028703420394876587,0.04743688423508779,0.4988554601816745,0.15865776
845,0.14724524174531178,[ 6.3547336   9.00038289 -7.44605038],[0.31105583 0.32097098 0.22153443],-857.29240136,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,845,6.106439039132542,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.661142532854005,-3.455728332655559,-3.1950845487920736,-2.9477372341119774,-2.85085527895032,-2.7848789307450796,-2.758810851090851,-2.7767499892811744,-2.9510841051181,0.0003653814058382786,0.007718714889940403,0.006182874974955469,-0.03623452199735818,-0.04735067358049855,-0.035934981882661525,-0.03134663504036022,-0.02679965080157786,0.02106177703623229,0.49885429040409607,0.15665591
846,0.1455874149318627,[ 6.35923424  9.00502704 -7.442845  ],[0.31105233 0.32097288 0.221534  ],-857.29129986,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,846,6.113656946898213,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.658676414393467,-3.4521131342204563,-3.191222385282119,-2.944417037117955,-2.848242971329739,-2.7835698959795363,-2.758661595809871,-2.7778974330645005,-2.9549341471177475,0.0003784660110385158,0.008050878302935511,0.007558649044004994,-0.03372750114422725,-0.04475803120377986,-0.033746213891868694,-0.029310194061751074,-0.02489378580095263,-0.005278928400754732,0.49885313956105687,0.15465176
847,0.1439315942060283,[ 6.36373483  9.00967121 -7.43963963],[0.31104884 0.32097478 0.22153358],-857.29021029,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,847,6.120874831854807,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6562095229142857,-3.448499855312747,-3.1873611263549995,-2.941096941669857,-2.8456336032049205,-2.7822753441739105,-2.7585316568285188,-2.7791100209559523,-2.958814818909014,0.0003913552754686638,0.008380884227061972,0.008932250815079703,-0.031217686543468008,-0.042161217640336444,-0.031554515277076325,-0.02727132116412546,-0.02298599062478848,-0.03158169273807493,0.4988519994236872,0.15264907
848,0.14227801738272722,[ 6.36823537  9.0143154  -7.43643426],[0.31104536 0.32097669 0.22153316],-857.28913264,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,848,6.128092698440972,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.653741718185622,-3.4448883419030207,-3.1835006994234565,-2.9377770397572576,-2.843287704003075,-2.7809953641397502,-2.758421159469818,-2.7806012329316245,-2.9627263804911252,0.0004040432943021718,0.008708656857537082,0.010303516703302736,-0.02870528406688581,-0.0395604304196437,-0.029360061127463845,-0.025230181311520862,-0.02107641767961802,-0.057843146599857974,0.49885087198527706,0.15065688
849,0.14062690242689116,[ 6.37273586  9.01895963 -7.4332289 ],[0.3110419  0.3209786  0.22153274],-857.28806688,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,849,6.135310555064735,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.651272950802378,-3.441278511552674,-3.1796410812324614,-2.93445745355885,-2.8410487135675786,-2.779730063847542,-2.7583302417049986,-2.7821140508629933,-2.9666690863571814,0.00041652415492864336,0.00903411752675632,0.011672270787096253,-0.026190520467908474,-0.03695588853577725,-0.02716304474070098,-0.023186956503359512,-0.019165235536313153,-0.0840596978910832,0.4988497570466258,0.14867115
850,0.1389784883605121,[ 6.3772363   9.02360388 -7.43002354],[0.31103846 0.32098051 0.22153232],-857.287013,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,850,6.142528393318559,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6488030936985294,-3.437670225972486,-3.1757822105149636,-2.931138276213673,-2.8387936731890564,-2.7784795241306344,-2.7585335653887917,-2.7836486308263377,-2.9706431685455095,0.00042879226976841783,0.00935719115487497,0.013038345005392816,-0.02367361350671874,-0.034347802372147046,-0.024963651708026988,-0.021141821328850566,-0.01725260548422701,-0.11022791282056216,0.4988486546074011,0.14673251
851,0.13733298022629942,[ 6.38173669  9.02824816 -7.4268182 ],[0.31103503 0.32098243 0.22153191],-857.28597099,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,851,6.149746210748923,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6463319817203987,-3.4340633403269996,-3.1719240389512295,-2.927939028672004,-2.8365490709859174,-2.7772438544781837,-2.758814130444824,-2.7852051628798686,-2.974648899029456,0.0004408423045978357,0.009677806077993354,0.01440158102482457,-0.021154768758916174,-0.03173637085660983,-0.02276205746196495,-0.019094940684220248,-0.01533867946116437,-0.13634453720597306,0.498847569307553,0.14480957
852,0.13569062547421368,[ 6.38623703  9.03289247 -7.42361285],[0.31103162 0.32098434 0.2215315 ],-857.28494081,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,852,6.156964020671416,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.643859573021768,-3.4304577587287035,-3.168066516471863,-2.9249273455245612,-2.834314989418455,-2.7762028025447543,-2.7591110327290527,-2.786783803567325,-2.9786865085154632,0.00045266887920220576,0.009995886075955699,0.01576180297739219,-0.018634214830823188,-0.029121814821409048,-0.020558456653129487,-0.017046497766726877,-0.01342362713532985,-0.1624060265387925,0.49884649007215637,0.14284873
853,0.13405162525501935,[ 6.39073732  9.03753681 -7.42040752],[0.31102823 0.32098626 0.22153109],-857.28392245,0,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,853,6.164181809770956,silicon_data/2_Electronic_Stopping/H_Si/LDA_H_off_channel/v_0.5,-3.6413857188372907,-3.426853348035322,-3.1642095997312216,-2.9219229850531248,-2.8320915395286046,-2.775351805069659,-2.75942444396697,-2.78838475605237,-2.982756299707789,0.00046426702929303775,0.010311361396964088,0.017118854896620354,-0.016112153288647593,-0.0265043289160696,-0.018353021064193148,-0.01499665460647226,-0.011507599423942656,-0.18840920339582987,0.4988454297698924,0.1408551
